"_id","pk_teuna_fikt","sug_tik","THUM_GEOGRAFI","SUG_DEREH","SEMEL_YISHUV","REHOV1","REHOV2","BAYIT","ZOMET_IRONI","KVISH1","KVISH2","KM","ZOMET_LO_IRONI","YEHIDA","SHNAT_TEUNA","HODESH_TEUNA","SHAA","SUG_YOM","YOM_LAYLA","YOM_BASHAVUA","HUMRAT_TEUNA","SUG_TEUNA","HAD_MASLUL","RAV_MASLUL","MEHIRUT_MUTERET","TKINUT","ROHAV","SIMUN_TIMRUR","TEURA","MEZEG_AVIR","PNE_KVISH","SUG_EZEM","MERHAK_EZEM","LO_HAZA","OFEN_HAZIYA","MEKOM_HAZIYA","KIVUN_HAZIYA","MAHOZ","NAFA","EZOR_TIVI","MAAMAD_MINIZIPALI","ZURAT_ISHUV","STATUS_IGUN","X","Y"
"1","2020031644","1","1","1","1061","159","275",,"7840004",,,,,"14","2021","1","73","4","5","1","3","1","0","3","1","1","3","3","3","1","1","9","9","9","3","3","1","2","23","237","0","16","1","230441","734148"
"2","2020079871","1","1","4","0",,,,,"8966","0","30",,"12","2021","1","57","4","1","5","3","5","3","0","4","1","3","3","1","2","2","9","9","9","0","0","9","2","21","212","99","99","1","245802","772308"
"3","2020081980","1","1","1","3000","1105","1307",,"26640236",,,,,"61","2021","1","93","4","5","6","3","2","0","2","3","1","5","3","3","1","1","9","9","9","0","0","9","1","11","111","0","12","1","218356","629343"
"4","2021000007","1","1","1","4000","1394","1391",,"17000742",,,,,"11","2021","12","26","4","5","5","3","2","3","0","2","1","3","3","6","1","1","9","9","9","0","0","9","3","31","311","0","13","1","201379","742666"
"5","2021000010","1","1","3","0",,,,,"89","8833","74","1439","12","2021","6","65","4","1","2","3","2","0","3","4","1","3","3","1","1","1","9","9","9","0","0","9","2","24","245","99","99","1","216335","768965"
"6","2021000017","1","1","1","3000","1641","1636",,"92871099",,,,,"61","2021","11","49","4","1","2","2","1","2","0","1","1","2","3","1","1","1","9","9","9","3","3","1","1","11","111","0","12","1","220875","630096"
"7","2021000021","1","1","1","6900","523","501",,"7910006",,,,,"51","2021","12","51","4","1","2","3","2","0","3","1","1","2","3","1","1","1","9","9","9","0","0","9","4","42","421","0","14","1","190598","676052"
"8","2021000046","1","1","4","0",,,,,"35","0","330",,"38","2021","1","65","4","1","1","3","5","3","0","4","1","3","4","1","1","1","9","9","9","0","0","9","6","61","612","99","99","1","191181","613408"
"9","2021000050","1","1","3","0",,,,,"57","562","85","10765","51","2021","9","56","4","1","6","3","2","0","3","4","1","5","3","1","1","1","9","9","9","0","0","9","4","41","411","99","99","1","195903","691407"
"10","2021000054","1","1","3","0",,,,,"70","79","527","1209","12","2021","8","30","4","1","3","3","4","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","3","31","311","99","99","1","214065","745761"
"11","2021000055","1","1","2","9100","224",,"9999",,,,,,"12","2021","7","91","4","5","2","2","8","0","2","1","1","1","3","3","1","1","3","1","9","0","0","9","2","24","245","0","15","3","210045","769963"
"12","2021000062","1","1","1","5000","1104","1267",,"11770552",,,,,"20","2021","5","71","4","1","2","3","2","0","3","1","1","2","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","1","178933","663609"
"13","2021000065","1","1","3","0",,,,,"431","423","160","4186","52","2021","1","58","4","1","7","1","11","1","0","1","1","3","4","1","1","1","8","2","9","0","0","9","4","44","442","99","99","1","182696","649655"
"14","2021000069","1","1","1","4000","762","989",,"18380438",,,,,"11","2021","12","38","4","1","6","3","2","3","0","1","1","3","3","1","9","2","9","9","9","0","0","9","3","31","311","0","13","1","198898","741270"
"15","2021000073","1","1","1","70","407","406",,"8560073",,,,,"38","2021","3","63","4","1","2","3","5","0","1","1","1","1","3","1","1","1","9","9","9","0","0","9","6","61","613","0","13","1","165229","632746"
"16","2021000077","1","1","1","681","134","116",,"520001",,,,,"20","2021","5","39","4","1","5","3","2","3","0","1","1","3","3","1","1","1","9","9","9","0","0","9","4","42","422","0","16","1","185996","664967"
"17","2021000088","1","1","4","0",,,,,"652","0","21",,"12","2021","9","30","4","1","2","3","3","2","0","1","1","1","3","1","1","1","9","9","9","3","3","2","3","32","322","99","99","1","196685","719390"
"18","2021000094","1","1","2","5000","1994",,"72",,,,,,"20","2021","11","53","4","1","6","3","1","3","0","1","1","2","3","1","1","1","9","9","9","3","3","2","5","51","511","0","13","1","176774","661641"
"19","2021000100","1","1","4","0",,,,,"85","0","174",,"12","2021","5","70","4","1","3","3","3","3","0","5","1","2","3","1","1","1","9","9","9","0","0","9","2","24","242","99","99","1","224824","757990"
"20","2021000103","1","1","2","3000",,,"9999",,,,,,"61","2021","6","51","4","1","5","2","12","3","0","1","1","1","3","1","1","1","9","9","9","0","0","9","1","11","111","0","12","2","220976","632344"
"21","2021000105","1","1","2","5000","2566",,"9999",,,,,,"20","2021","10","65","4","1","1","2","2","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","5","51","511","0","13","3","183824","669114"
"22","2021000108","1","1","2","5000","1555",,"9999",,,,,,"20","2021","6","69","4","1","5","3","4","0","1","1","1","2","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","3","180256","664275"
"23","2021000115","1","1","2","2660","158",,"55",,,,,,"52","2021","6","32","4","1","3","3","1","0","3","1","1","2","3","1","1","1","9","9","9","3","3","2","4","44","441","0","15","1","175993","641898"
